idAmenity,description,nameAmenity,categories,price
1,"An easy-to-use bedside alarm clock with large, illuminated numbers and a snooze feature to ensure you wake up on time. This essential item is perfect for those with busy schedules or early morning commitments, allowing you to customize your wake-up time effortlessly.",Alarm Clock,"['Room Amenities', 'Convenience']",No fees
2,"A comprehensive cleaning service for your studio room, ensuring a pristine environment during your stay. Our cleaning team meticulously dusts, vacuums, and sanitizes all surfaces, creating a fresh and inviting atmosphere for you to relax and enjoy.",Cleaning Studio,"['Cleaning Services', 'Room Maintenance']",10 USD
3,"A thorough cleaning of the suite designed to maintain a fresh and inviting atmosphere throughout your stay. Our attentive staff pays special attention to linens, bathroom hygiene, and overall cleanliness, ensuring your comfort and satisfaction.",Cleaning Suite,"['Cleaning Services', 'Room Maintenance']",50 USD
4,"A convenient scooter rental service that allows you to explore the local area with ease and flexibility. Ideal for sightseeing or leisurely rides, our scooters are well-maintained, come with safety gear, and are ready for your adventure at a moment's notice.",Scooter Rental,"['Transportation', 'Leisure Activities']",100 USD
5,"High-speed WiFi connectivity available throughout the property, enabling seamless streaming, remote work, and staying connected with friends or colleagues. Perfect for business travelers needing reliable internet access for video calls or file uploads.",WiFi,"['Internet Services', 'Business Amenities']",120 USD
6,"Enjoy breathtaking views from your room, whether it’s the stunning city skyline, serene beach, or majestic mountains. This amenity enhances your overall experience by providing a peaceful and scenic ambiance for relaxation and reflection.",View,"['Room Amenities', 'Scenic Views']",10 USD
7,"Comfortable accommodations for smokers, featuring designated smoking areas that ensure a pleasant stay while adhering to safety regulations. This amenity allows you to enjoy your stay without hassle, catering to your preferences.",Smoking,"['Room Amenities', 'Health & Safety']",No fees
10,"Complimentary coffee service available in the lobby and via room service, allowing you to enjoy a warm beverage anytime during the day. Perfect for those who appreciate a fresh cup of coffee to kickstart their day or unwind in the evening.",Free Coffee,"['Dining Services', 'Convenience']",No fees
12,"A state-of-the-art 55-inch television in your room featuring premium channels and streaming capabilities. Enjoy the latest movies, shows, and entertainment options from the comfort of your bed or lounge area, perfect for unwinding after a long day.",TV 55,"['Room Amenities', 'Entertainment']",No fees
13,"A baby cot available upon request, ensuring that families traveling with infants have a safe and comfortable place for their little ones to sleep. This amenity provides peace of mind for parents and enhances the comfort of family stays.",Baby Cot,"['Family Services', 'Room Amenities']",No fees
14,"Start your day right with a delightful continental breakfast featuring a variety of fresh fruits, pastries, cereals, and hot dishes. This breakfast option caters to diverse tastes and dietary preferences, ensuring a satisfying start to your morning.",Breakfast,"['Dining Services', 'Meal Options']",15 USD
15,"Early check-in is available to provide flexibility for guests arriving before the standard check-in time. This amenity allows you to settle into your room and start enjoying your stay sooner, making it ideal for travelers with early flights or long journeys.",Early Check-in,"['Check-in Services', 'Guest Convenience']",30 USD
16,"Request an extra bed for added comfort or space during your stay, ideal for families or groups traveling together. This amenity ensures everyone has a comfortable sleeping arrangement and enhances your overall experience.",Extra Bed,"['Room Amenities', 'Guest Comfort']",30 USD
17,"In-room spa treatment services offered for guests seeking relaxation without leaving their room. Options include massages, facials, and wellness therapies, allowing you to unwind and rejuvenate in the privacy of your own space.",In-room Spa Treatment,"['Wellness Services', 'Luxury Amenities']",100 USD
18,"Late check-out service available for guests wishing to extend their stay. This amenity allows you to enjoy every last moment in comfort, accommodating your schedule and ensuring you can relax until the very end of your stay.",Late Check-out,"['Check-out Services', 'Guest Convenience']",40 USD
19,"Luxury car rental service for those looking to travel in style. Offering a range of high-end vehicles, this amenity ensures a comfortable and prestigious driving experience during your stay.",Luxury Car Rental,"['Transportation', 'Luxury Services']",300 USD
20,"Private airport transfer services ensure a smooth and stress-free transition to and from the airport. This amenity provides comfort and convenience for travelers, allowing you to arrive at your destination relaxed and ready.",Private Airport Transfer,"['Transportation', 'Airport Services']",50 USD
21,"Experience personalized dining with our private chef service, offering tailored culinary experiences in your room. Enjoy custom menus crafted to your tastes for a unique and memorable dining experience.",Private Chef Service,"['Dining Services', 'Luxury Amenities']",150 USD
22,"Experience the beauty of local waters with a private yacht tour, providing an exclusive adventure complete with a dedicated crew and personalized itinerary. Ideal for those looking for a unique and luxurious experience during their stay.",Private Yacht Tour,"['Leisure Activities', 'Luxury Services']",500 USD
23,"Efficient airport shuttle service available for guests, offering convenient transport to and from the airport at scheduled times. This amenity provides ease of access and peace of mind for your travel needs.",Airport Shuttle Service,"['Transportation', 'Airport Services']",30 USD
24,Indulge in a breakfast buffet featuring a wide variety of hot and cold dishes to cater to every palate. This amenity ensures that you start your day with a satisfying and diverse meal experience.,Breakfast Buffet,"['Dining Services', 'Meal Options']",20 USD
25,"Enjoy room service for food and drinks, allowing you to dine in the comfort of your room anytime during your stay. Perfect for late-night cravings or leisurely meals without leaving your space.",Room Service,"['Dining Services', 'Convenience']",No fees
